Airline,Airline ID,Source airport,Destination airport,City_source,Country_source,City_destination,Country_destination,Latitude_source,Longitude_source,Latitude_destination,Longitude_destination
2L,2750,BDS,ZRH,Brindisi,Italy,Zurich,Switzerland,40.6576,17.947001,47.464699,8.54917
2L,2750,BOD,ZRH,Bordeaux,France,Zurich,Switzerland,44.8283004761,-0.7155560255050001,47.464699,8.54917
2L,2750,BRS,ZRH,Bristol,United Kingdom,Zurich,Switzerland,51.382702,-2.71909,47.464699,8.54917
2L,2750,ZRH,BDS,Zurich,Switzerland,Brindisi,Italy,47.464699,8.54917,40.6576,17.947001
2L,2750,ZRH,BOD,Zurich,Switzerland,Bordeaux,France,47.464699,8.54917,44.8283004761,-0.7155560255050001
2L,2750,ZRH,BRS,Zurich,Switzerland,Bristol,United Kingdom,47.464699,8.54917,51.382702,-2.71909
2N,3652,AJR,LYC,Arvidsjaur,Sweden,Lycksele,Sweden,65.59030151367189,19.28190040588379,64.54830169677734,18.71619987487793
2N,3652,ARN,GEV,Stockholm,Sweden,Gallivare,Sweden,59.65190124511699,17.918600082397,67.13240051269531,20.814599990844727
2N,3652,ARN,HAD,Stockholm,Sweden,Halmstad,Sweden,59.65190124511699,17.918600082397,56.69110107421875,12.820199966430664
2N,3652,ARN,JKG,Stockholm,Sweden,Joenkoeping,Sweden,59.65190124511699,17.918600082397,57.75759887695313,14.068699836730955
2N,3652,ARN,KRF,Stockholm,Sweden,Kramfors,Sweden,59.65190124511699,17.918600082397,63.04859924316406,17.76889991760254
2N,3652,ARN,KSD,Stockholm,Sweden,Karlstad,Sweden,59.65190124511699,17.918600082397,59.4446983337,13.3374004364
2N,3652,ARN,LYC,Stockholm,Sweden,Lycksele,Sweden,59.65190124511699,17.918600082397,64.54830169677734,18.71619987487793
2N,3652,ARN,MHQ,Stockholm,Sweden,Mariehamn,Finland,59.65190124511699,17.918600082397,60.122200012207,19.898199081421
2N,3652,ARN,OER,Stockholm,Sweden,Ornskoldsvik,Sweden,59.65190124511699,17.918600082397,63.40829849243164,18.989999771118164
2N,3652,ARN,POR,Stockholm,Sweden,Pori,Finland,59.65190124511699,17.918600082397,61.46170043945301,21.799999237061
2N,3652,ARN,TRF,Stockholm,Sweden,Sandefjord,Norway,59.65190124511699,17.918600082397,59.1866989136,10.258600235
2N,3652,ARN,VBY,Stockholm,Sweden,Visby,Sweden,59.65190124511699,17.918600082397,57.662799835205,18.346200942993
2N,3652,ARN,VHM,Stockholm,Sweden,Vilhelmina,Sweden,59.65190124511699,17.918600082397,64.5791015625,16.833599090576172
2N,3652,ARN,VXO,Stockholm,Sweden,Vaxjo,Sweden,59.65190124511699,17.918600082397,56.929100036621094,14.727999687194824
2N,3652,GEV,ARN,Gallivare,Sweden,Stockholm,Sweden,67.13240051269531,20.814599990844727,59.65190124511699,17.918600082397
2N,3652,GEV,KRF,Gallivare,Sweden,Kramfors,Sweden,67.13240051269531,20.814599990844727,63.04859924316406,17.76889991760254
2N,3652,HAD,ARN,Halmstad,Sweden,Stockholm,Sweden,56.69110107421875,12.820199966430664,59.65190124511699,17.918600082397
2N,3652,HAD,JKG,Halmstad,Sweden,Joenkoeping,Sweden,56.69110107421875,12.820199966430664,57.75759887695313,14.068699836730955
2N,3652,HAD,VXO,Halmstad,Sweden,Vaxjo,Sweden,56.69110107421875,12.820199966430664,56.929100036621094,14.727999687194824
2N,3652,HMV,VHM,Hemavan,Sweden,Vilhelmina,Sweden,65.80609893798828,15.082799911499023,64.5791015625,16.833599090576172
2N,3652,JKG,ARN,Joenkoeping,Sweden,Stockholm,Sweden,57.75759887695313,14.068699836730955,59.65190124511699,17.918600082397
2N,3652,JKG,HAD,Joenkoeping,Sweden,Halmstad,Sweden,57.75759887695313,14.068699836730955,56.69110107421875,12.820199966430664
2N,3652,KOK,POR,Kruunupyy,Finland,Pori,Finland,63.721199035645,23.143100738525,61.46170043945301,21.799999237061
2N,3652,KRF,ARN,Kramfors,Sweden,Stockholm,Sweden,63.04859924316406,17.76889991760254,59.65190124511699,17.918600082397
2N,3652,KRF,GEV,Kramfors,Sweden,Gallivare,Sweden,63.04859924316406,17.76889991760254,67.13240051269531,20.814599990844727
2N,3652,KSD,ARN,Karlstad,Sweden,Stockholm,Sweden,59.4446983337,13.3374004364,59.65190124511699,17.918600082397
2N,3652,LYC,AJR,Lycksele,Sweden,Arvidsjaur,Sweden,64.54830169677734,18.71619987487793,65.59030151367189,19.28190040588379
2N,3652,LYC,ARN,Lycksele,Sweden,Stockholm,Sweden,64.54830169677734,18.71619987487793,59.65190124511699,17.918600082397
2N,3652,MHQ,ARN,Mariehamn,Finland,Stockholm,Sweden,60.122200012207,19.898199081421,59.65190124511699,17.918600082397
2N,3652,MHQ,TKU,Mariehamn,Finland,Turku,Finland,60.122200012207,19.898199081421,60.514099121094,22.262800216675
2N,3652,OER,ARN,Ornskoldsvik,Sweden,Stockholm,Sweden,63.40829849243164,18.989999771118164,59.65190124511699,17.918600082397
2N,3652,OSL,VXO,Oslo,Norway,Vaxjo,Sweden,60.121,11.0502,56.929100036621094,14.727999687194824
2N,3652,POR,ARN,Pori,Finland,Stockholm,Sweden,61.46170043945301,21.799999237061,59.65190124511699,17.918600082397
2N,3652,POR,KOK,Pori,Finland,Kruunupyy,Finland,61.46170043945301,21.799999237061,63.721199035645,23.143100738525
2N,3652,TKU,MHQ,Turku,Finland,Mariehamn,Finland,60.514099121094,22.262800216675,60.122200012207,19.898199081421
2N,3652,TRF,ARN,Sandefjord,Norway,Stockholm,Sweden,59.1866989136,10.258600235,59.65190124511699,17.918600082397
2N,3652,VBY,ARN,Visby,Sweden,Stockholm,Sweden,57.662799835205,18.346200942993,59.65190124511699,17.918600082397
2N,3652,VHM,ARN,Vilhelmina,Sweden,Stockholm,Sweden,64.5791015625,16.833599090576172,59.65190124511699,17.918600082397
2N,3652,VHM,HMV,Vilhelmina,Sweden,Hemavan,Sweden,64.5791015625,16.833599090576172,65.80609893798828,15.082799911499023
2N,3652,VXO,ARN,Vaxjo,Sweden,Stockholm,Sweden,56.929100036621094,14.727999687194824,59.65190124511699,17.918600082397
2N,3652,VXO,OSL,Vaxjo,Sweden,Oslo,Norway,56.929100036621094,14.727999687194824,60.121,11.0502
3L,2916,ACH,EBA,Altenrhein,Switzerland,Marina Di Campo,Italy,47.4850006104,9.560770034789998,42.7603,10.2394
3L,2916,DRS,ZRH,Dresden,Germany,Zurich,Switzerland,51.1328010559082,13.767200469970703,47.464699,8.54917
3L,2916,DUS,FDH,Duesseldorf,Germany,Friedrichshafen,Germany,51.289501,6.766780000000001,47.671298980699994,9.511489868160002
3L,2916,EBA,ACH,Marina Di Campo,Italy,Altenrhein,Switzerland,42.7603,10.2394,47.4850006104,9.560770034789998
3L,2916,EBA,FDH,Marina Di Campo,Italy,Friedrichshafen,Germany,42.7603,10.2394,47.671298980699994,9.511489868160002
3L,2916,EBA,MUC,Marina Di Campo,Italy,Munich,Germany,42.7603,10.2394,48.353802,11.7861
3L,2916,EBA,ZRH,Marina Di Campo,Italy,Zurich,Switzerland,42.7603,10.2394,47.464699,8.54917
3L,2916,FDH,DUS,Friedrichshafen,Germany,Duesseldorf,Germany,47.671298980699994,9.511489868160002,51.289501,6.766780000000001
3L,2916,FDH,EBA,Friedrichshafen,Germany,Marina Di Campo,Italy,47.671298980699994,9.511489868160002,42.7603,10.2394
3L,2916,FDH,HAM,Friedrichshafen,Germany,Hamburg,Germany,47.671298980699994,9.511489868160002,53.630401611328,9.988229751586902
3L,2916,FDH,OLB,Friedrichshafen,Germany,Olbia,Italy,47.671298980699994,9.511489868160002,40.898701,9.51763
3L,2916,FDH,TXL,Friedrichshafen,Germany,Berlin,Germany,47.671298980699994,9.511489868160002,52.5597,13.2877
3L,2916,FDH,ZAD,Friedrichshafen,Germany,Zadar,Croatia,47.671298980699994,9.511489868160002,44.108299,15.3467
3L,2916,FMM,NAP,Memmingen,Germany,Naples,Italy,47.9888000488,10.2395000458,40.886002000000005,14.2908
3L,2916,GRZ,ZRH,Graz,Austria,Zurich,Switzerland,46.9911003112793,15.439599990844728,47.464699,8.54917
3L,2916,HAM,FDH,Hamburg,Germany,Friedrichshafen,Germany,53.630401611328,9.988229751586902,47.671298980699994,9.511489868160002
3L,2916,MUC,EBA,Munich,Germany,Marina Di Campo,Italy,48.353802,11.7861,42.7603,10.2394
3L,2916,NAP,FMM,Naples,Italy,Memmingen,Germany,40.886002000000005,14.2908,47.9888000488,10.2395000458
3L,2916,OLB,FDH,Olbia,Italy,Friedrichshafen,Germany,40.898701,9.51763,47.671298980699994,9.511489868160002
3L,2916,SZG,ZRH,Salzburg,Austria,Zurich,Switzerland,47.7933006287,13.0043001175,47.464699,8.54917
3L,2916,TXL,FDH,Berlin,Germany,Friedrichshafen,Germany,52.5597,13.2877,47.671298980699994,9.511489868160002
3L,2916,ZAD,FDH,Zadar,Croatia,Friedrichshafen,Germany,44.108299,15.3467,47.671298980699994,9.511489868160002
3L,2916,ZRH,DRS,Zurich,Switzerland,Dresden,Germany,47.464699,8.54917,51.1328010559082,13.767200469970703
3L,2916,ZRH,EBA,Zurich,Switzerland,Marina Di Campo,Italy,47.464699,8.54917,42.7603,10.2394
3L,2916,ZRH,GRZ,Zurich,Switzerland,Graz,Austria,47.464699,8.54917,46.9911003112793,15.439599990844728
3L,2916,ZRH,SZG,Zurich,Switzerland,Salzburg,Austria,47.464699,8.54917,47.7933006287,13.0043001175
4T,1401,AYT,ZRH,Antalya,Turkey,Zurich,Switzerland,36.898701,30.800501,47.464699,8.54917
4T,1401,PRN,ZRH,Pristina,Serbia,Zurich,Switzerland,42.5728,21.035801,47.464699,8.54917
4T,1401,SKP,ZRH,Skopje,Macedonia,Zurich,Switzerland,41.961601,21.621401,47.464699,8.54917
4T,1401,ZRH,AYT,Zurich,Switzerland,Antalya,Turkey,47.464699,8.54917,36.898701,30.800501
4T,1401,ZRH,PRN,Zurich,Switzerland,Pristina,Serbia,47.464699,8.54917,42.5728,21.035801
4T,1401,ZRH,SKP,Zurich,Switzerland,Skopje,Macedonia,47.464699,8.54917,41.961601,21.621401
4U,2548,AGP,STR,Malaga,Spain,Stuttgart,Germany,36.67490005493164,-4.499110221862793,48.6898994446,9.22196006775
4U,2548,AGP,TXL,Malaga,Spain,Berlin,Germany,36.67490005493164,-4.499110221862793,52.5597,13.2877
4U,2548,AMS,HAM,Amsterdam,Netherlands,Hamburg,Germany,52.308601,4.76389,53.630401611328,9.988229751586902
4U,2548,AOI,DUS,Ancona,Italy,Duesseldorf,Germany,43.616299,13.3623,51.289501,6.766780000000001
4U,2548,AOI,TXL,Ancona,Italy,Berlin,Germany,43.616299,13.3623,52.5597,13.2877
4U,2548,ARN,CGN,Stockholm,Sweden,Cologne,Germany,59.65190124511699,17.918600082397,50.8658981323,7.1427397728
4U,2548,ARN,DUS,Stockholm,Sweden,Duesseldorf,Germany,59.65190124511699,17.918600082397,51.289501,6.766780000000001
4U,2548,ARN,HAM,Stockholm,Sweden,Hamburg,Germany,59.65190124511699,17.918600082397,53.630401611328,9.988229751586902
4U,2548,ATH,CGN,Athens,Greece,Cologne,Germany,37.9364013672,23.944499969499997,50.8658981323,7.1427397728
4U,2548,ATH,STR,Athens,Greece,Stuttgart,Germany,37.9364013672,23.944499969499997,48.6898994446,9.22196006775
4U,2548,AYT,CGN,Antalya,Turkey,Cologne,Germany,36.898701,30.800501,50.8658981323,7.1427397728
4U,2548,BCN,CGN,Barcelona,Spain,Cologne,Germany,41.2971,2.07846,50.8658981323,7.1427397728
4U,2548,BCN,DUS,Barcelona,Spain,Duesseldorf,Germany,41.2971,2.07846,51.289501,6.766780000000001
4U,2548,BCN,HAJ,Barcelona,Spain,Hannover,Germany,41.2971,2.07846,52.461101532,9.68507957458
4U,2548,BCN,HAM,Barcelona,Spain,Hamburg,Germany,41.2971,2.07846,53.630401611328,9.988229751586902
4U,2548,BCN,STR,Barcelona,Spain,Stuttgart,Germany,41.2971,2.07846,48.6898994446,9.22196006775
4U,2548,BDS,STR,Brindisi,Italy,Stuttgart,Germany,40.6576,17.947001,48.6898994446,9.22196006775
4U,2548,BEG,STR,Belgrade,Serbia,Stuttgart,Germany,44.8184013367,20.3090991974,48.6898994446,9.22196006775
4U,2548,BGO,HAM,Bergen,Norway,Hamburg,Germany,60.29339981,5.218140125,53.630401611328,9.988229751586902
4U,2548,BHX,HAM,Birmingham,United Kingdom,Hamburg,Germany,52.4538993835,-1.7480299472799998,53.630401611328,9.988229751586902
4U,2548,BHX,TXL,Birmingham,United Kingdom,Berlin,Germany,52.4538993835,-1.7480299472799998,52.5597,13.2877
4U,2548,BIA,CGN,Bastia,France,Cologne,Germany,42.55270004272461,9.48373031616211,50.8658981323,7.1427397728
4U,2548,BIA,DUS,Bastia,France,Duesseldorf,Germany,42.55270004272461,9.48373031616211,51.289501,6.766780000000001
4U,2548,BIA,HAM,Bastia,France,Hamburg,Germany,42.55270004272461,9.48373031616211,53.630401611328,9.988229751586902
4U,2548,BIA,STR,Bastia,France,Stuttgart,Germany,42.55270004272461,9.48373031616211,48.6898994446,9.22196006775
4U,2548,BIA,TXL,Bastia,France,Berlin,Germany,42.55270004272461,9.48373031616211,52.5597,13.2877
