Name,City,Country,IATA,Latitude,Longitude,Altitude,Timezone,DST
Antwerp International Airport (Deurne),Antwerp,Belgium,ANR,51.189399719200004,4.46027994156,39,1,E
Brussels Airport,Brussels,Belgium,BRU,50.9014015198,4.48443984985,184,1,E
Brussels South Charleroi Airport,Charleroi,Belgium,CRL,50.459202000000005,4.4538199999999994,614,1,E
Wevelgem Airport,Kortrijk-vevelgem,Belgium,KJK,50.817199707,3.2047200202900004,64,1,E
Liège Airport,Liege,Belgium,LGG,50.63740158081055,5.443220138549805,659,1,E
Ostend-Bruges International Airport,Ostend,Belgium,OST,51.1988983154,2.8622200489,13,1,E
Zoersel (Oostmalle) Airfield,Zoersel,Belgium,OBL,51.264702,4.75333,53,1,E
Altenburg-Nobitz Airport,Altenburg,Germany,AOC,50.981945,12.506389,640,1,E
Riesa-Göhlis Airport,Riesa,Germany,IES,51.293609619099996,13.3561105728,322,1,E
Rechlin-Lärz Airport,Rechlin-laerz,Germany,REB,53.306388855,12.7522220612,220,1,E
Schönhagen Airport,Schoenhagen,Germany,QXH,52.203609,13.156389,152,1,E
Barth Airport,Barth,Germany,BBH,54.338253,12.710515,23,1,E
"Magdeburg ""City"" Airport",Magdeburg,Germany,ZMG,52.073612,11.626389,259,1,E
Cottbus-Drewitz Airport,Cottbus,Germany,CBU,51.889441999999995,14.531944000000001,272,1,E
Berlin-Schönefeld Airport,Berlin,Germany,SXF,52.380001,13.5225,157,1,E
Dresden Airport,Dresden,Germany,DRS,51.1328010559082,13.767200469970705,755,1,E
Erfurt Airport,Erfurt,Germany,ERF,50.97980117797852,10.958100318908693,1036,1,E
Frankfurt am Main Airport,Frankfurt,Germany,FRA,50.033333,8.570556,364,1,E
Münster Osnabrück Airport,Munster,Germany,FMO,52.134601593,7.68483018875,160,1,E
Hamburg Airport,Hamburg,Germany,HAM,53.630401611328004,9.988229751586902,53,1,E
Berlin-Tempelhof International Airport,Berlin,Germany,THF,52.472999572753906,13.403900146484375,167,1,E
Cologne Bonn Airport,Cologne,Germany,CGN,50.865898132299996,7.1427397728,302,1,E
Düsseldorf Airport,Duesseldorf,Germany,DUS,51.289501,6.766780000000001,147,1,E
Munich Airport,Munich,Germany,MUC,48.353802,11.7861,1487,1,E
Nuremberg Airport,Nuernberg,Germany,NUE,49.498699,11.078056,1046,1,E
Leipzig/Halle Airport,Leipzig,Germany,LEJ,51.423889,12.236388999999999,465,1,E
Saarbrücken Airport,Saarbruecken,Germany,SCN,49.2145996094,7.10950994492,1058,1,E
Stuttgart Airport,Stuttgart,Germany,STR,48.6898994446,9.22196006775,1276,1,E
Berlin-Tegel Airport,Berlin,Germany,TXL,52.5597,13.2877,122,1,E
Hannover Airport,Hannover,Germany,HAJ,52.461101532,9.68507957458,183,1,E
Bremen Airport,Bremen,Germany,BRE,53.0475006104,8.78666973114,14,1,E
Frankfurt-Egelsbach Airport,Egelsbach,Germany,QEF,49.959998999999996,8.645833,384,1,E
Frankfurt-Hahn Airport,Hahn,Germany,HHN,49.9487,7.263889999999999,1649,1,E
Mannheim-City Airport,Mannheim,Germany,MHG,49.473057,8.514167,308,1,E
Eisenach-Kindel Airport,Eisenach,Germany,EIB,50.991603999999995,10.47973,1112,1,E
Siegerland Airport,Siegerland,Germany,SGE,50.70769882202149,8.082969665527344,1966,1,E
Hamburg-Finkenwerder Airport,Hamburg,Germany,XFW,53.5352783203125,9.835556030273438,23,1,E
Kiel-Holtenau Airport,Kiel,Germany,KEL,54.37944412231445,10.145277976989746,102,1,E
Lübeck Blankensee Airport,Luebeck,Germany,LBC,53.805400848400005,10.7192001343,53,1,E
Essen Mulheim Airport,Essen,Germany,ESS,51.40230178833008,6.9373297691345215,424,1,E
Bielefeld Airport,Bielefeld,Germany,BFE,51.964721999999995,8.544444,454,1,E
Mönchengladbach Airport,Moenchengladbach,Germany,MGL,51.230278000000006,6.504444,125,1,E
Paderborn Lippstadt Airport,Paderborn,Germany,PAD,51.614101409899995,8.616319656369999,699,1,E
Dortmund Airport,Dortmund,Germany,DTM,51.518299102799986,7.61223983765,425,1,E
Augsburg Airport,Augsburg,Germany,AGB,48.425278000000006,10.931667,1516,1,E
Oberpfaffenhofen Airport,Oberpfaffenhofen,Germany,OBF,48.081402000000004,11.2831,1947,1,E
Straubing Airport,Straubing,Germany,RBM,48.90083312988281,12.516667366027832,1047,1,E
Friedrichshafen Airport,Friedrichshafen,Germany,FDH,47.671298980699994,9.511489868160002,1367,1,E
Schwerin Parchim Airport,Parchim,Germany,SZW,53.426998,11.7834,166,1,E
Bayreuth Airport,Bayreuth,Germany,BYU,49.985001000000004,11.64,1601,1,E
Burg Feuerstein Airport,Burg Feuerstein,Germany,URD,49.794166564940994,11.133610725402999,1673,1,E
Hof-Plauen Airport,Hof,Germany,HOQ,50.288612365722656,11.856389045715332,1959,1,E
Zweibrücken Airport,Zweibruecken,Germany,ZQW,49.2094,7.4005600000000005,1132,1,E
Donaueschingen-Villingen Airport,Donaueschingen,Germany,ZQL,47.97333145139999,8.52222156525,2231,1,E
Braunschweig-Wolfsburg Airport,Braunschweig,Germany,BWE,52.319199,10.5561,295,1,E
Kassel-Calden Airport,Kassel,Germany,KSF,51.417273,9.384967,820,1,E
Bremerhaven Airport,Bremerhaven,Germany,BRV,53.50694300000001,8.572778,10,1,E
Emden Airport,Emden,Germany,EME,53.391109,7.2275,3,1,E
Wilhelmshaven-Mariensiel Airport,Wilhelmshaven,Germany,WVN,53.502220153808594,8.05222225189209,16,1,E
Borkum Airport,Borkum,Germany,BMK,53.59639,6.709167,3,1,E
Norderney Airport,Norderney,Germany,NRD,53.70694351196289,7.230000019073486,7,1,E
Flensburg-Schäferhaus Airport,Flensburg,Germany,FLF,54.77333450317383,9.378889083862305,131,1,E
Westerland Sylt Airport,Westerland,Germany,GWT,54.9132003784,8.34047031403,51,1,E
Kärdla Airport,Kardla,Estonia,KDL,58.99079895019531,22.830699920654297,18,2,E
Kuressaare Airport,Kuressaare,Estonia,URE,58.22990036010742,22.50950050354004,14,2,E
Pärnu Airport,Parnu,Estonia,EPU,58.41899871826172,24.47279930114746,47,2,E
Lennart Meri Tallinn Airport,Tallinn-ulemiste International,Estonia,TLL,59.41329956049999,24.8327999115,131,2,E
Tartu Airport,Tartu,Estonia,TAY,58.30749893189999,26.6903991699,219,2,E
Enontekio Airport,Enontekio,Finland,ENF,68.36260223388699,23.424299240112,1005,2,E
Halli Airport,Halli,Finland,KEV,61.856039,24.786686,479,2,E
Helsinki Malmi Airport,Helsinki,Finland,HEM,60.254600524902344,25.04280090332031,57,2,E
Helsinki Vantaa Airport,Helsinki,Finland,HEL,60.317199707031,24.963300704956,179,2,E
Hyvinkää Airfield,Hyvinkaa,Finland,HYV,60.6543998718,24.881099700900002,430,2,E
Kitee Airport,Kitee,Finland,KTQ,62.1661,30.073601,364,2,E
Ivalo Airport,Ivalo,Finland,IVL,68.607299804688,27.405300140380998,481,2,E
Joensuu Airport,Joensuu,Finland,JOE,62.662899017334006,29.607500076294,398,2,E
Jyvaskyla Airport,Jyvaskyla,Finland,JYV,62.399501800537,25.678300857544,459,2,E
Kauhava Airport,Kauhava,Finland,KAU,63.127102,23.051399,151,2,E
Kemi-Tornio Airport,Kemi,Finland,KEM,65.778701782227,24.582099914551,61,2,E
Kajaani Airport,Kajaani,Finland,KAJ,64.285499572754,27.692399978638,483,2,E
Kauhajoki Airport,Kauhajoki,Finland,KHJ,62.4625015259,22.3931007385,407,2,E
Kokkola-Pietarsaari Airport,Kruunupyy,Finland,KOK,63.721199035645,23.143100738525,84,2,E
Kuusamo Airport,Kuusamo,Finland,KAO,65.98760223388699,29.239400863647,866,2,E
Kittilä Airport,Kittila,Finland,KTT,67.700996398926,24.846799850464002,644,2,E
Kuopio Airport,Kuopio,Finland,KUO,63.007099151611,27.797800064087,323,2,E
Lahti Vesivehmaa Airport,Vesivehmaa,Finland,QLF,61.144199,25.693501,502,2,E
Lappeenranta Airport,Lappeenranta,Finland,LPP,61.044601,28.144743,349,2,E
Mariehamn Airport,Mariehamn,Finland,MHQ,60.122200012207,19.898199081421,17,2,E
Mikkeli Airport,Mikkeli,Finland,MIK,61.6866,27.201798999999998,329,2,E
Oulu Airport,Oulu,Finland,OUL,64.930099487305,25.354600906372,47,2,E
Pori Airport,Pori,Finland,POR,61.461700439453004,21.799999237061,44,2,E
Rovaniemi Airport,Rovaniemi,Finland,RVN,66.564796447754,25.830400466919,642,2,E
Savonlinna Airport,Savonlinna,Finland,SVL,61.943099975586,28.945100784302,311,2,E
Sodankyla Airport,Sodankyla,Finland,SOT,67.3949966431,26.619100570700002,602,2,E
Tampere-Pirkkala Airport,Tampere,Finland,TMP,61.414100646973,23.604400634766,390,2,E
Turku Airport,Turku,Finland,TKU,60.514099121094,22.262800216675,161,2,E
Utti Air Base,Utti,Finland,UTI,60.89640045165999,26.938400268555004,339,2,E
Vaasa Airport,Vaasa,Finland,VAA,63.050701141357,21.762199401855,19,2,E
Varkaus Airport,Varkaus,Finland,VRK,62.171100616455,27.868600845337,286,2,E
Ylivieska Airfield,Ylivieska-raudaskyla,Finland,YLI,64.0547222,24.7252778,252,2,E
Belfast International Airport,Belfast,United Kingdom,BFS,54.6575012207,-6.21582984924,268,0,E
St Angelo Airport,Enniskillen,United Kingdom,ENK,54.39889907836914,-7.651669979095459,155,0,E
George Best Belfast City Airport,Belfast,United Kingdom,BHD,54.61809921264648,-5.872499942779541,15,0,E
City of Derry Airport,Londonderry,United Kingdom,LDY,55.04280090332031,-7.161109924316406,22,0,E
Birmingham International Airport,Birmingham,United Kingdom,BHX,52.4538993835,-1.7480299472799998,327,0,E
Coventry Airport,Coventry,United Kingdom,CVT,52.3697013855,-1.47971999645,267,0,E
Gloucestershire Airport,Golouchestershire,United Kingdom,GLO,51.89419937133789,-2.1672201156616206,101,0,E
Cotswold Airport,Pailton,United Kingdom,GBA,51.668095,-2.05694,433,0,E
Manchester Airport,Manchester,United Kingdom,MAN,53.35369873046875,-2.2749500274658203,257,0,E
Newquay Cornwall Airport,Newquai,United Kingdom,NQY,50.44060134887695,-4.995409965515137,390,0,E
RAF Lyneham,Lyneham,United Kingdom,LYE,51.5051,-1.99343,513,0,E
RNAS Yeovilton,Yeovilton,United Kingdom,YEO,51.0093994140625,-2.638819932937622,75,0,E
Haverfordwest Airport,Haverfordwest,United Kingdom,HAW,51.83309936523438,-4.9611101150512695,159,0,E
Cardiff International Airport,Cardiff,United Kingdom,CWL,51.39670181274414,-3.343329906463623,220,0,E
Swansea Airport,Swansea,United Kingdom,SWS,51.60530090332031,-4.0678300857543945,299,0,E
Bristol Airport,Bristol,United Kingdom,BRS,51.382702,-2.71909,622,0,E
Liverpool John Lennon Airport,Liverpool,United Kingdom,LPL,53.33359909057617,-2.849720001220703,80,0,E
London Luton Airport,London,United Kingdom,LTN,51.87469863891602,-0.36833301186561584,526,0,E
Plymouth City Airport,Plymouth,United Kingdom,PLH,50.422798,-4.10583,476,0,E
Bournemouth Airport,Bournemouth,United Kingdom,BOH,50.77999877929688,-1.8424999713897705,38,0,E
Southampton Airport,Southampton,United Kingdom,SOU,50.95029830932617,-1.3567999601364136,44,0,E
Lasham Airport,Lasham,United Kingdom,QLA,51.18719863891602,-1.0334999561309814,618,0,E
Alderney Airport,Alderney,Guernsey,ACI,49.706103999999996,-2.2147200000000002,290,0,E
Guernsey Airport,Guernsey,Guernsey,GCI,49.43500137329102,-2.601969957351685,336,0,E
Jersey Airport,Jersey,Jersey,JER,49.20790100097656,-2.1955099105834956,277,0,E
Shoreham Airport,Shoreham By Sea,United Kingdom,ESH,50.835602,-0.297222,7,0,E
London Biggin Hill Airport,Biggin Hill,United Kingdom,BQH,51.330799102799986,0.032499998807900006,598,0,E
London Gatwick Airport,London,United Kingdom,LGW,51.148102,-0.190278,202,0,E
London City Airport,London,United Kingdom,LCY,51.505299,0.055277999999999994,19,0,E
Farnborough Airport,Farnborough,United Kingdom,FAB,51.275798797600004,-0.776332974434,238,0,E
Blackbushe Airport,Blackbushe,United Kingdom,BBS,51.32389831542969,-0.8475000262260437,325,0,E
London Heathrow Airport,London,United Kingdom,LHR,51.4706,-0.461941,83,0,E
Southend Airport,Southend,United Kingdom,SEN,51.5713996887207,0.6955559849739075,49,0,E
Lydd Airport,Lydd,United Kingdom,LYX,50.95610046386719,0.939167022705078,13,0,E
Kent International Airport,Manston,United Kingdom,MSE,51.342201,1.3461100000000001,178,0,E
Carlisle Airport,Carlisle,United Kingdom,CAX,54.9375,-2.8091700077056885,190,0,E
Blackpool International Airport,Blackpool,United Kingdom,BLK,53.77170181274414,-3.0286099910736084,34,0,E
Humberside Airport,Humberside,United Kingdom,HUY,53.57440185546875,-0.350832998752594,121,0,E
Barrow Walney Island Airport,Barrow Island,United Kingdom,BWF,54.1286111,-3.2675,173,0,E
Leeds Bradford Airport,Leeds,United Kingdom,LBA,53.86589813232422,-1.6605700254440308,681,0,E
Warton Airport,Warton,United Kingdom,WRT,53.745098,-2.88306,55,0,E
Hawarden Airport,Hawarden,United Kingdom,CEG,53.1781005859375,-2.977780103683472,45,0,E
Isle of Man Airport,Isle Of Man,Isle of Man,IOM,54.08330154418945,-4.623889923095703,52,0,E
Newcastle Airport,Newcastle,United Kingdom,NCL,55.037498474121094,-1.6916699409484863,266,0,E
Durham Tees Valley Airport,Teesside,United Kingdom,MME,54.50920104980469,-1.4294099807739258,120,0,E
East Midlands Airport,East Midlands,United Kingdom,EMA,52.8311004639,-1.32806003094,306,0,E
Kirkwall Airport,Kirkwall,United Kingdom,KOI,58.957801818847656,-2.9049999713897705,50,0,E
Sumburgh Airport,Sumburgh,United Kingdom,LSI,59.87889862060547,-1.295560002326965,20,0,E
Wick Airport,Wick,United Kingdom,WIC,58.458900451660156,-3.09306001663208,126,0,E
Aberdeen Dyce Airport,Aberdeen,United Kingdom,ABZ,57.20190048217773,-2.1977798938751216,215,0,E
Inverness Airport,Inverness,United Kingdom,INV,57.54249954223633,-4.047500133514403,31,0,E
Glasgow International Airport,Glasgow,United Kingdom,GLA,55.8718986511,-4.43306016922,26,0,E
Edinburgh Airport,Edinburgh,United Kingdom,EDI,55.95000076293945,-3.372499942779541,135,0,E
Islay Airport,Islay,United Kingdom,ILY,55.68190002441406,-6.256669998168945,56,0,E
Glasgow Prestwick Airport,Prestwick,United Kingdom,PIK,55.5093994140625,-4.586669921875,65,0,E
Benbecula Airport,Benbecula,United Kingdom,BEB,57.48109817504883,-7.362780094146728,19,0,E
Scatsta Airport,Scatsta,United Kingdom,SCS,60.43280029296875,-1.2961100339889526,81,0,E
Dundee Airport,Dundee,United Kingdom,DND,56.45249938964844,-3.0258300304412837,17,0,E
Stornoway Airport,Stornoway,United Kingdom,SYY,58.215599060058594,-6.3311100006103525,26,0,E
Tiree Airport,Tiree,United Kingdom,TRE,56.49919891357422,-6.869170188903809,38,0,E
RAF Leuchars,Leuchars,United Kingdom,ADX,56.37289810180664,-2.8684399127960205,38,0,E
RAF Lossiemouth,Lossiemouth,United Kingdom,LMO,57.7052001953125,-3.339169979095459,42,0,E
Cambridge Airport,Cambridge,United Kingdom,CBG,52.205002,0.175,47,0,E
Norwich International Airport,Norwich,United Kingdom,NWI,52.675800323500006,1.28278005123,117,0,E
London Stansted Airport,London,United Kingdom,STN,51.8849983215,0.23499999940400002,348,0,E
Exeter International Airport,Exeter,United Kingdom,EXT,50.73440170288086,-3.4138898849487305,102,0,E
Bristol Filton Airport,Bristol,United Kingdom,FZO,51.519401550299996,-2.5908300876599997,226,0,E
Oxford (Kidlington) Airport,Oxford,United Kingdom,OXF,51.8368988037,-1.32000005245,270,0,E
RAF Benson,Benson,United Kingdom,BEX,51.616401672399995,-1.09582996368,226,0,E
RAF Lakenheath,Lakenheath,United Kingdom,LKZ,52.409301757799994,0.5609999895100001,32,0,E
RAF Mildenhall,Mildenhall,United Kingdom,MHZ,52.361900329589844,0.4864059984683991,33,0,E
RAF Wyton,Wyton,United Kingdom,QUY,52.357200622600004,-0.107832998037,135,0,E
RAF Fairford,Fairford,United Kingdom,FFD,51.6822013855,-1.7900300025900002,286,0,E
RAF Brize Norton,Brize Norton,United Kingdom,BZZ,51.75,-1.58362,288,0,E
RAF Odiham,Odiham,United Kingdom,ODH,51.2341003418,-0.9428250193600001,405,0,E
RAF Northolt,Northolt,United Kingdom,NHT,51.5530014038,-0.418166995049,124,0,E
RAF Coningsby,Coningsby,United Kingdom,QCY,53.0929985046,-0.166014000773,25,0,E
RAF Honington,Honington,United Kingdom,BEQ,52.34260177612305,0.7729390263557434,174,0,E
RAF Scampton,Scampton,United Kingdom,SQZ,53.307800293,-0.550832986832,202,0,E
RAF Linton-On-Ouse,Linton-on-ouse,United Kingdom,HRT,54.0489006042,-1.2527500391,53,0,E
RAF Waddington,Waddington,United Kingdom,WTN,53.1661987305,-0.5238109827040001,231,0,E
RAF Marham,Marham,United Kingdom,KNF,52.648394999999994,0.550692,75,0,E
Amsterdam Airport Schiphol,Amsterdam,Netherlands,AMS,52.308601,4.76389,-11,1,E
Maastricht Aachen Airport,Maastricht,Netherlands,MST,50.911701,5.7701400000000005,375,1,E
Eindhoven Airport,Eindhoven,Netherlands,EIN,51.4500999451,5.374529838559999,74,1,E
Eelde Airport,Groningen,Netherlands,GRQ,53.1197013855,6.579440116880001,17,1,E
Gilze Rijen Air Base,Gilze-rijen,Netherlands,GLZ,51.56740188598633,4.931829929351807,49,1,E
De Kooy Airport,De Kooy,Netherlands,DHR,52.92340087890625,4.780620098114014,3,1,E
Lelystad Airport,Lelystad,Netherlands,LEY,52.4603,5.52722,-13,1,E
Leeuwarden Air Base,Leeuwarden,Netherlands,LWR,53.228599548339844,5.760560035705566,3,1,E
