Airline,Airline ID,Source airport,Destination airport,Latitude_source,Longitude_source,Latitude_destination,Longitude_destination
2L,2750,BDS,ZRH,40.6576,17.947001,47.464699,8.54917
2L,2750,BOD,ZRH,44.8283004761,-0.7155560255050001,47.464699,8.54917
2L,2750,BRS,ZRH,51.382702,-2.71909,47.464699,8.54917
2L,2750,ZRH,BDS,47.464699,8.54917,40.6576,17.947001
2L,2750,ZRH,BOD,47.464699,8.54917,44.8283004761,-0.7155560255050001
2L,2750,ZRH,BRS,47.464699,8.54917,51.382702,-2.71909
2N,3652,AJR,LYC,65.59030151367189,19.28190040588379,64.54830169677734,18.71619987487793
2N,3652,ARN,GEV,59.65190124511699,17.918600082397,67.13240051269531,20.814599990844727
2N,3652,ARN,HAD,59.65190124511699,17.918600082397,56.69110107421875,12.820199966430664
2N,3652,ARN,JKG,59.65190124511699,17.918600082397,57.75759887695313,14.068699836730955
2N,3652,ARN,KRF,59.65190124511699,17.918600082397,63.04859924316406,17.76889991760254
2N,3652,ARN,KSD,59.65190124511699,17.918600082397,59.4446983337,13.3374004364
2N,3652,ARN,LYC,59.65190124511699,17.918600082397,64.54830169677734,18.71619987487793
2N,3652,ARN,MHQ,59.65190124511699,17.918600082397,60.122200012207,19.898199081421
2N,3652,ARN,OER,59.65190124511699,17.918600082397,63.40829849243164,18.989999771118164
2N,3652,ARN,POR,59.65190124511699,17.918600082397,61.46170043945301,21.799999237061
2N,3652,ARN,TRF,59.65190124511699,17.918600082397,59.1866989136,10.258600235
2N,3652,ARN,VBY,59.65190124511699,17.918600082397,57.662799835205,18.346200942993
2N,3652,ARN,VHM,59.65190124511699,17.918600082397,64.5791015625,16.833599090576172
2N,3652,ARN,VXO,59.65190124511699,17.918600082397,56.929100036621094,14.727999687194824
2N,3652,GEV,ARN,67.13240051269531,20.814599990844727,59.65190124511699,17.918600082397
2N,3652,GEV,KRF,67.13240051269531,20.814599990844727,63.04859924316406,17.76889991760254
2N,3652,HAD,ARN,56.69110107421875,12.820199966430664,59.65190124511699,17.918600082397
2N,3652,HAD,JKG,56.69110107421875,12.820199966430664,57.75759887695313,14.068699836730955
2N,3652,HAD,VXO,56.69110107421875,12.820199966430664,56.929100036621094,14.727999687194824
2N,3652,HMV,VHM,65.80609893798828,15.082799911499023,64.5791015625,16.833599090576172
2N,3652,JKG,ARN,57.75759887695313,14.068699836730955,59.65190124511699,17.918600082397
2N,3652,JKG,HAD,57.75759887695313,14.068699836730955,56.69110107421875,12.820199966430664
2N,3652,KOK,POR,63.721199035645,23.143100738525,61.46170043945301,21.799999237061
2N,3652,KRF,ARN,63.04859924316406,17.76889991760254,59.65190124511699,17.918600082397
2N,3652,KRF,GEV,63.04859924316406,17.76889991760254,67.13240051269531,20.814599990844727
2N,3652,KSD,ARN,59.4446983337,13.3374004364,59.65190124511699,17.918600082397
2N,3652,LYC,AJR,64.54830169677734,18.71619987487793,65.59030151367189,19.28190040588379
2N,3652,LYC,ARN,64.54830169677734,18.71619987487793,59.65190124511699,17.918600082397
2N,3652,MHQ,ARN,60.122200012207,19.898199081421,59.65190124511699,17.918600082397
2N,3652,MHQ,TKU,60.122200012207,19.898199081421,60.514099121094,22.262800216675
2N,3652,OER,ARN,63.40829849243164,18.989999771118164,59.65190124511699,17.918600082397
2N,3652,OSL,VXO,60.121,11.0502,56.929100036621094,14.727999687194824
2N,3652,POR,ARN,61.46170043945301,21.799999237061,59.65190124511699,17.918600082397
2N,3652,POR,KOK,61.46170043945301,21.799999237061,63.721199035645,23.143100738525
2N,3652,TKU,MHQ,60.514099121094,22.262800216675,60.122200012207,19.898199081421
2N,3652,TRF,ARN,59.1866989136,10.258600235,59.65190124511699,17.918600082397
2N,3652,VBY,ARN,57.662799835205,18.346200942993,59.65190124511699,17.918600082397
2N,3652,VHM,ARN,64.5791015625,16.833599090576172,59.65190124511699,17.918600082397
2N,3652,VHM,HMV,64.5791015625,16.833599090576172,65.80609893798828,15.082799911499023
2N,3652,VXO,ARN,56.929100036621094,14.727999687194824,59.65190124511699,17.918600082397
2N,3652,VXO,OSL,56.929100036621094,14.727999687194824,60.121,11.0502
3L,2916,ACH,EBA,47.4850006104,9.560770034789998,42.7603,10.2394
3L,2916,DRS,ZRH,51.1328010559082,13.767200469970703,47.464699,8.54917
3L,2916,DUS,FDH,51.289501,6.766780000000001,47.671298980699994,9.511489868160002
3L,2916,EBA,ACH,42.7603,10.2394,47.4850006104,9.560770034789998
3L,2916,EBA,FDH,42.7603,10.2394,47.671298980699994,9.511489868160002
3L,2916,EBA,MUC,42.7603,10.2394,48.353802,11.7861
3L,2916,EBA,ZRH,42.7603,10.2394,47.464699,8.54917
3L,2916,FDH,DUS,47.671298980699994,9.511489868160002,51.289501,6.766780000000001
3L,2916,FDH,EBA,47.671298980699994,9.511489868160002,42.7603,10.2394
3L,2916,FDH,HAM,47.671298980699994,9.511489868160002,53.630401611328,9.988229751586902
3L,2916,FDH,OLB,47.671298980699994,9.511489868160002,40.898701,9.51763
3L,2916,FDH,TXL,47.671298980699994,9.511489868160002,52.5597,13.2877
3L,2916,FDH,ZAD,47.671298980699994,9.511489868160002,44.108299,15.3467
3L,2916,FMM,NAP,47.9888000488,10.2395000458,40.886002000000005,14.2908
3L,2916,GRZ,ZRH,46.9911003112793,15.439599990844728,47.464699,8.54917
3L,2916,HAM,FDH,53.630401611328,9.988229751586902,47.671298980699994,9.511489868160002
3L,2916,MUC,EBA,48.353802,11.7861,42.7603,10.2394
3L,2916,NAP,FMM,40.886002000000005,14.2908,47.9888000488,10.2395000458
3L,2916,OLB,FDH,40.898701,9.51763,47.671298980699994,9.511489868160002
3L,2916,SZG,ZRH,47.7933006287,13.0043001175,47.464699,8.54917
3L,2916,TXL,FDH,52.5597,13.2877,47.671298980699994,9.511489868160002
3L,2916,ZAD,FDH,44.108299,15.3467,47.671298980699994,9.511489868160002
3L,2916,ZRH,DRS,47.464699,8.54917,51.1328010559082,13.767200469970703
3L,2916,ZRH,EBA,47.464699,8.54917,42.7603,10.2394
3L,2916,ZRH,GRZ,47.464699,8.54917,46.9911003112793,15.439599990844728
3L,2916,ZRH,SZG,47.464699,8.54917,47.7933006287,13.0043001175
4T,1401,AYT,ZRH,36.898701,30.800501,47.464699,8.54917
4T,1401,PRN,ZRH,42.5728,21.035801,47.464699,8.54917
4T,1401,SKP,ZRH,41.961601,21.621401,47.464699,8.54917
4T,1401,ZRH,AYT,47.464699,8.54917,36.898701,30.800501
4T,1401,ZRH,PRN,47.464699,8.54917,42.5728,21.035801
4T,1401,ZRH,SKP,47.464699,8.54917,41.961601,21.621401
4U,2548,AGP,STR,36.67490005493164,-4.499110221862793,48.6898994446,9.22196006775
4U,2548,AGP,TXL,36.67490005493164,-4.499110221862793,52.5597,13.2877
4U,2548,AMS,HAM,52.308601,4.76389,53.630401611328,9.988229751586902
4U,2548,AOI,DUS,43.616299,13.3623,51.289501,6.766780000000001
4U,2548,AOI,TXL,43.616299,13.3623,52.5597,13.2877
