Airline,Airline ID,Source airport,Source airport ID,Destination airport,Destination airport ID,Codeshare,Stops,Equipment,Source Latitude,Source Longitude,Destination Latitude,Destination Longitude,Distance
2B,410,AER,2965,KZN,2990,,0,CR2,43.449902,39.9566,55.606201171875,49.278701782227,1506.825604458928
2B,410,ASF,2966,KZN,2990,,0,CR2,46.2832984924,48.0063018799,55.606201171875,49.278701782227,1040.4383197669074
2B,410,ASF,2966,MRV,2962,,0,CR2,46.2832984924,48.0063018799,44.22510147094727,43.08190155029297,448.1649087095456
2B,410,DME,4029,KZN,2990,,0,CR2,55.40879821777344,37.90629959106445,55.606201171875,49.278701782227,715.6493504840489
2B,410,DME,4029,NBC,6969,,0,CR2,55.40879821777344,37.90629959106445,55.56470108032226,52.09249877929688,892.3827877543464
2B,410,DME,4029,TGK,\N,,0,CR2,55.40879821777344,37.90629959106445,47.1983333,38.849166700000005,915.2891395770904
2B,410,DME,4029,UUA,6160,,0,CR2,55.40879821777344,37.90629959106445,54.63999938964844,52.80170059204102,951.4321982829722
2B,410,EGO,6156,KGD,2952,,0,CR2,50.643798828125,36.5900993347168,54.88999938964844,20.592599868774418,1171.8814952837665
2B,410,EGO,6156,KZN,2990,,0,CR2,50.643798828125,36.5900993347168,55.606201171875,49.278701782227,1008.2531100895807
2B,410,KGD,2952,EGO,6156,,0,CR2,54.88999938964844,20.592599868774418,50.643798828125,36.5900993347168,1171.8814952837665
2B,410,KZN,2990,AER,2965,,0,CR2,55.606201171875,49.278701782227,43.449902,39.9566,1506.825604458928
2B,410,KZN,2990,ASF,2966,,0,CR2,55.606201171875,49.278701782227,46.2832984924,48.0063018799,1040.4383197669074
2B,410,KZN,2990,DME,4029,,0,CR2,55.606201171875,49.278701782227,55.40879821777344,37.90629959106445,715.6493504840489
2B,410,KZN,2990,EGO,6156,,0,CR2,55.606201171875,49.278701782227,50.643798828125,36.5900993347168,1008.2531100895807
2B,410,KZN,2990,LED,2948,,0,CR2,55.606201171875,49.278701782227,59.80030059814453,30.26250076293945,1216.8445674824823
2B,410,LED,2948,KZN,2990,,0,CR2,59.80030059814453,30.26250076293945,55.606201171875,49.278701782227,1216.8445674824823
2B,410,LED,2948,NBC,6969,,0,CR2,59.80030059814453,30.26250076293945,55.56470108032226,52.09249877929688,1372.8864143629523
2B,410,LED,2948,UUA,6160,,0,CR2,59.80030059814453,30.26250076293945,54.63999938964844,52.80170059204102,1464.0569350725686
2B,410,MRV,2962,ASF,2966,,0,CR2,44.22510147094727,43.08190155029297,46.2832984924,48.0063018799,448.1649087095456
2B,410,NBC,6969,DME,4029,,0,CR2,55.56470108032226,52.09249877929688,55.40879821777344,37.90629959106445,892.3827877543464
2B,410,NBC,6969,LED,2948,,0,CR2,55.56470108032226,52.09249877929688,59.80030059814453,30.26250076293945,1372.8864143629523
2B,410,TGK,\N,DME,4029,,0,CR2,47.1983333,38.849166700000005,55.40879821777344,37.90629959106445,915.2891395770904
2B,410,UUA,6160,DME,4029,,0,CR2,54.63999938964844,52.80170059204102,55.40879821777344,37.90629959106445,951.4321982829722
2B,410,UUA,6160,LED,2948,,0,CR2,54.63999938964844,52.80170059204102,59.80030059814453,30.26250076293945,1464.0569350725686
2L,2750,BDS,1506,ZRH,1678,,0,100,40.6576,17.947001,47.464699,8.54917,1064.7408432924565
2L,2750,BOD,1264,ZRH,1678,,0,100,44.8283004761,-0.7155560255050001,47.464699,8.54917,770.9701783806116
2L,2750,BRS,490,ZRH,1678,,0,100,51.382702,-2.71909,47.464699,8.54917,922.7610697261699
2L,2750,ZRH,1678,BDS,1506,,0,100,47.464699,8.54917,40.6576,17.947001,1064.7408432924565
2L,2750,ZRH,1678,BOD,1264,,0,100,47.464699,8.54917,44.8283004761,-0.7155560255050001,770.9701783806116
2L,2750,ZRH,1678,BRS,490,,0,100,47.464699,8.54917,51.382702,-2.71909,922.7610697261699
2N,3652,AJR,730,LYC,719,,0,ATP,65.59030151367189,19.28190040588379,64.54830169677734,18.71619987487793,118.85904094007392
2N,3652,ARN,737,GEV,715,,0,ATP,59.65190124511699,17.918600082397,67.13240051269531,20.814599990844727,843.9758148468123
2N,3652,ARN,737,HAD,709,,0,SF3,59.65190124511699,17.918600082397,56.69110107421875,12.820199966430664,444.47843726187915
2N,3652,ARN,737,JKG,688,,0,ATP SF3,59.65190124511699,17.918600082397,57.75759887695313,14.068699836730955,306.20541977348506
2N,3652,ARN,737,KRF,718,,0,ATP,59.65190124511699,17.918600082397,63.04859924316406,17.76889991760254,377.77962351832747
2N,3652,ARN,737,KSD,5595,,0,SF3,59.65190124511699,17.918600082397,59.4446983337,13.3374004364,259.14683110204675
2N,3652,ARN,737,LYC,719,,0,ATP,59.65190124511699,17.918600082397,64.54830169677734,18.71619987487793,546.0229776499898
2N,3652,ARN,737,MHQ,442,,0,SF3,59.65190124511699,17.918600082397,60.122200012207,19.898199081421,122.18564500712132
2N,3652,ARN,737,OER,722,,0,ATR,59.65190124511699,17.918600082397,63.40829849243164,18.989999771118164,421.5199429806096
2N,3652,ARN,737,POR,448,,0,SF3,59.65190124511699,17.918600082397,61.46170043945301,21.799999237061,292.32656992518366
2N,3652,ARN,737,TRF,664,,0,SF3,59.65190124511699,17.918600082397,59.1866989136,10.258600235,436.15828742943165
2N,3652,ARN,737,VBY,746,,0,SF3 ATP,59.65190124511699,17.918600082397,57.662799835205,18.346200942993,222.55517159028344
2N,3652,ARN,737,VHM,729,,0,SF3,59.65190124511699,17.918600082397,64.5791015625,16.833599090576172,550.7566446512778
2N,3652,ARN,737,VXO,711,,0,SF3,59.65190124511699,17.918600082397,56.929100036621094,14.727999687194824,355.49050697254825
2N,3652,GEV,715,ARN,737,,0,ATP,67.13240051269531,20.814599990844727,59.65190124511699,17.918600082397,843.9758148468123
2N,3652,GEV,715,KRF,718,,0,ATP,67.13240051269531,20.814599990844727,63.04859924316406,17.76889991760254,475.83525850542134
2N,3652,HAD,709,ARN,737,,0,SF3 ATP,56.69110107421875,12.820199966430664,59.65190124511699,17.918600082397,444.47843726187915
2N,3652,HAD,709,JKG,688,,0,ATP SF3,56.69110107421875,12.820199966430664,57.75759887695313,14.068699836730955,140.392359401131
2N,3652,HAD,709,VXO,711,,0,SF3,56.69110107421875,12.820199966430664,56.929100036621094,14.727999687194824,119.10046954751851
2N,3652,HMV,5599,VHM,729,,0,SF3,65.80609893798828,15.082799911499023,64.5791015625,16.833599090576172,159.00438759313695
