Airline,Airline ID,Source airport,Destination airport
2L,2750,BDS,ZRH
2L,2750,BOD,ZRH
2L,2750,BRS,ZRH
2L,2750,ZRH,BDS
2L,2750,ZRH,BOD
2L,2750,ZRH,BRS
2N,3652,AJR,LYC
2N,3652,ARN,GEV
2N,3652,ARN,HAD
2N,3652,ARN,JKG
2N,3652,ARN,KRF
2N,3652,ARN,KSD
2N,3652,ARN,LYC
2N,3652,ARN,MHQ
2N,3652,ARN,OER
2N,3652,ARN,POR
2N,3652,ARN,TRF
2N,3652,ARN,VBY
2N,3652,ARN,VHM
2N,3652,ARN,VXO
2N,3652,GEV,ARN
2N,3652,GEV,KRF
2N,3652,HAD,ARN
2N,3652,HAD,JKG
2N,3652,HAD,VXO
2N,3652,HMV,VHM
2N,3652,JKG,ARN
2N,3652,JKG,HAD
2N,3652,KOK,POR
2N,3652,KRF,ARN
2N,3652,KRF,GEV
2N,3652,KSD,ARN
2N,3652,LYC,AJR
2N,3652,LYC,ARN
2N,3652,MHQ,ARN
2N,3652,MHQ,TKU
2N,3652,OER,ARN
2N,3652,OSL,VXO
2N,3652,POR,ARN
2N,3652,POR,KOK
2N,3652,TKU,MHQ
2N,3652,TRF,ARN
2N,3652,VBY,ARN
2N,3652,VHM,ARN
2N,3652,VHM,HMV
2N,3652,VXO,ARN
2N,3652,VXO,OSL
3L,2916,ACH,EBA
3L,2916,DRS,ZRH
3L,2916,DUS,FDH
3L,2916,EBA,ACH
3L,2916,EBA,FDH
3L,2916,EBA,MUC
3L,2916,EBA,ZRH
3L,2916,FDH,DUS
3L,2916,FDH,EBA
3L,2916,FDH,HAM
3L,2916,FDH,OLB
3L,2916,FDH,TXL
3L,2916,FDH,ZAD
3L,2916,FMM,NAP
3L,2916,GRZ,ZRH
3L,2916,HAM,FDH
3L,2916,MUC,EBA
3L,2916,NAP,FMM
3L,2916,OLB,FDH
3L,2916,SZG,ZRH
3L,2916,TXL,FDH
3L,2916,ZAD,FDH
3L,2916,ZRH,DRS
3L,2916,ZRH,EBA
3L,2916,ZRH,GRZ
3L,2916,ZRH,SZG
4T,1401,AYT,ZRH
4T,1401,PRN,ZRH
4T,1401,SKP,ZRH
4T,1401,ZRH,AYT
4T,1401,ZRH,PRN
4T,1401,ZRH,SKP
4U,2548,AGP,STR
4U,2548,AGP,TXL
4U,2548,AMS,HAM
4U,2548,AOI,DUS
4U,2548,AOI,TXL
4U,2548,ARN,CGN
4U,2548,ARN,DUS
4U,2548,ARN,HAM
4U,2548,ATH,CGN
4U,2548,ATH,STR
4U,2548,AYT,CGN
4U,2548,BCN,CGN
4U,2548,BCN,DUS
4U,2548,BCN,HAJ
4U,2548,BCN,HAM
4U,2548,BCN,STR
4U,2548,BDS,STR
4U,2548,BEG,STR
4U,2548,BGO,HAM
4U,2548,BHX,HAM
4U,2548,BHX,TXL
4U,2548,BIA,CGN
4U,2548,BIA,DUS
4U,2548,BIA,HAM
4U,2548,BIA,STR
4U,2548,BIA,TXL
4U,2548,BIO,DUS
4U,2548,BIO,STR
4U,2548,BLQ,CGN
4U,2548,BLQ,TXL
4U,2548,BRE,STR
4U,2548,BRI,CGN
4U,2548,BRI,DUS
4U,2548,BRI,STR
4U,2548,BRU,STR
4U,2548,BSL,DUS
4U,2548,BUD,CGN
4U,2548,BUD,HAM
4U,2548,BUD,STR
4U,2548,CAG,CGN
4U,2548,CAG,DUS
4U,2548,CAG,STR
4U,2548,CDG,HAM
4U,2548,CFU,CGN
4U,2548,CFU,DRS
4U,2548,CFU,STR
